Name,Age,Photo,Photo source,Date,Source ref,Location,Country,Latitude,Longitude,Cause of death,Source,Permalink,
J.,23,,,1-Mar-17,1-Mar-17/N.N.,"Municipio de Chalco, Estado de Mexico",Mexico,19.27253,-99.59667,stabbed,"J. was stabbed in the face and chest by her partner after an argument. He was subsequently arrested.

http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/03/2/arrestan-sospechoso-de-matar-travesti-en-valle-de-chalco

http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/03/2/hombre-que-mato-transexual-en-chalco-era-su-pareja
",http://tdor.translivesmatter.info/reports/2017/03/01/name-unknown_municipio-de-chalco-estado-de-mexico-mexico_8f1d29fc,
P. J.,24,2017_03_02_P-J.jpg,,2-Mar-17,2-Mar-17/P.J.,"Doi Saket, Chiang Mai",Thailand,18.8709,99.13655,stabbed,"P. J. was stabbed in the chest and neck by her boyfriend after a fight.

https://www.khaosod.co.th/around-thailand/news_246028",http://tdor.translivesmatter.info/reports/2017/03/02/p-j_doi-saket-chiang-mai-thailand_df650c9d,
Michelly Garcia,25,2017_03_03_Michelly-Garcia.jpg,,3-Mar-17,3-Mar-17/Michelly Garcia,Pelotas,Brazil,-31.77001,-52.341154,shot,"Michelly was shot in the head in her own home by two men on a motorcycle. She died on the way to hospital.

Her Facebook profile is https://www.facebook.com/mychell.garcia.33

https://homofobiamata.wordpress.com/2017/03/03/m-da-cunha-25-anos-tiros-rs-pelotas/ [BROKEN LINK]

https://www.diariopopular.com.br/index.php?n_sistema=3056&id_noticia=MTIyMTY0&id_area=Nw==%E2%80%8B

https://variedadesruba.blogspot.co.uk/2017/03/pelotas-jovem-de-25-anos-e-morto-",http://tdor.translivesmatter.info/reports/2017/03/03/michelly-garcia_pelotas-brazil_5d517d70,
Name Unknown,,,,6-Mar-17,6-Mar-17/N.N.,Goiania,Brazil,-16.680882,-49.253269,shot,"The victim was shot and killed at dawn on Monday 6th March at Rua 21 de Abril, Parque Anhanguera 2.

A friend who was with her and was not injured reported that the shooter was on a motorcycle. He was alone on the vehicle and fled the crime scene.

https://homofobiamata.wordpress.com/2017/03/06/nao-identificada-tiros-go-goiania/ [BROKEN LINK]

http://g1.globo.com/goias/noticia/2017/03/travesti-e-morta-tiros-em-goiania.html

http://www.opiqui.com/travesti-e-morta-a-tiros-em-goiania/

https://www.opopular.com.br/editorias/cidades/travesti-e-mulher-s%C3%A3o-mortas-a-tiro-em-goi%C3%A2nia-1.1235659
",http://tdor.translivesmatter.info/reports/2017/03/06/name-unknown_goiania-brazil_2b337eac,
Rubi Navarros,26,2017_03_06_Rubi-Navarros.jpg,,6-Mar-17,6-Mar-17/Rubi,Luziania,Brazil,-16.253546,-47.950028,shot,"Rubi was drinking in a bar with someone she had a relationship with when he pulled out a gun and started shooting at people. Rubi and a cisgender woman named Vera Lucia were killed. The killer fled the scene.

A man suspected of being their killer was arrested in Araguaia in March 2018.

According to the Civil Police of MT, Danilo de Sousa Araújo, 25, killed a military police officer in Maranhão, besides being suspected of participating in the death of a [cis] woman and a trans woman in a bar in Luziânia, Federal District.

Her Facebook profile is https://www.facebook.com/rubi.navarros.

https://homofobiamata.wordpress.com/2017/03/06/rubi-tiros-go-luziania/ [BROKEN LINK]

https://www.facebook.com/1708994492682297/photos/pcb.1899611620287249/1899611590287252

http://www.jornaldebrasilia.com.br/brasil/acusado-de-matar-mulher-e-travesti-no-entorno-e-preso-no-mato-grosso/

http://www.olharalerta.com.br/noticias/homem-que-matou-policial-no-maranhao-e-travesti-em-goias-e-preso-no-araguaia-2008",http://tdor.translivesmatter.info/reports/2017/03/06/rubi-navarros_luziania-brazil_9920b523,
Sandra Marafigo Cordeiro,,,,8-Mar-17,8-Mar-17/Sandra,"Laranjeiras do Sul, Paraná",Brazil,-25.40732,-52.415013,beaten,"Sandra was found dead on the morning of Wednesday 8th March in Cristo Rei Square, Laranjeiras do Sul, in the south of Paraná. According to reports she had arrived in the city during the previous week and had been sleeping rough in the square.

On the Saturday before her murder she had been beaten by some young people near the bus station, and gone to the police station to report the assault. Her death was a result of the head injury she suffered during the assault.

https://homofobiamata.wordpress.com/2017/03/08/nao-identificada-pr-laranjeiras-do-sul/ [BROKEN LINK]

http://www.bandab.com.br/geral/travesti-que-foi-ate-delegacia-denunciar-agressao-e-encontrada-morta-em-praca/

https://olhoabertopr.blogspot.co.uk/2017/03/morte-de-travesti-pode-ter-sido.html

http://www.radiocampoaberto.com.br/ls-policia-civil-identifica-travesti-encontrado-morto-na-praca-do-cristo/
",http://tdor.translivesmatter.info/reports/2017/03/08/sandra-marafigo-cordeiro_laranjeiras-do-sul-parana-brazil_237aee09,
Jennifer Celia Henrique (Jenni),38,2017_03_10_Jennifer-Celia-Henrique.jpg,,10-Mar-17,10-Mar-17/Jennifer Celia Henrique (Jenni),Florianopolis,Brazil,-27.5973,-48.54961,beaten,"Jenni was found dead with head injuries in a building in the neighbourhood of Ingleses, in the north of Santa Catarina Island. A suspect was arrested just over a month later on 23rd April 2017 and confessed to her murder.

She had previously been assaulted in 2013 and 2016.

> The murder caused commotion in social networks, especially in the LGBT community of Santa Catarina.
> 
> Jenni, who worked with the sale of cosmetics, is described by friends as a “cheerful” person, “smiling” and “always saw the good side of life.”
> 
> Another friend wrote that today was a day of “cowardice … of prejudice … of injustice … What to talk about you ??? They are good things … joy … strength … friendship … courage. Not always what suits us serves the other … as well as what is good for another sometimes does not suit us … being different is not bad … life is made of differences … let’s know how to live .. .amar … to respect.”

Her Facebook profile is https://www.facebook.com/jennifercelia.henrique.

https://homofobiamata.wordpress.com/2017/03/10/jennifer-celia-henrique-representante-de-vendas-38-anos-pauladas-8adp-sc-florianopolis/ [BROKEN LINK]

http://www.jornalconexao.com.br/transexual-jennifer-do-santinho-e-assassinada-no-norte-da-ilha/

http://horadesantacatarina.clicrbs.com.br/sc/policia/noticia/2017/03/transexual-morta-a-pauladas-na-capital-havia-registrado-bos-por-homofobia-e-agressao-9745715.html

https://noticias.r7.com/cidades/transexual-e-assassinada-em-florianopolis-sc-com-golpes-na-cabeca-10032017

https://observatoriog.bol.uol.com.br/noticias/2017/03/transfobia-transsexual-jennifer-do-santinho-e-assassinada-em-florianopolis

https://g1.globo.com/sc/santa-catarina/noticia/suspeito-de-matar-transexual-em-florianopolis-e-preso-e-confessa-crime.ghtml",http://tdor.translivesmatter.info/reports/2017/03/10/jennifer-celia-henrique-jenni_florianopolis-brazil_d49379ba,
Name Unknown,35,,,11-Mar-17,Mar-17/N.N.,Tlajomulco,Mexico,20.475588,-103.446805,not reported,"The victim’s body was found in an abandoned suitcase in a wasteland. The cause and date of death was not reported.

TvT partner organisation Centro de Apoyo a las Identidades Trans & Quadratin 11.03.2017
",http://tdor.translivesmatter.info/reports/2017/03/11/name-unknown_tlajomulco-mexico_db9866b5,
Gabriele Marchiori,19,2017_03_12_Gabriele-Marchiori.jpg,,12-Mar-17,12-Mar-17/N.N.,Cachoeirinha,Brazil,-29.947063,-51.103565,not reported,"The cause of Gabriele’s death is unknown. Her body was found burned.

https://goqueer.blogspot.com/2017/04/brazil-transgender-womans-body-found.html

http://www.diariocachoeirinha.com.br/_conteudo/2017/03/noticias/regiao/2084133-corpo-de-transsexual-e-encontrado-queimado-no-distrito-industrial-de-cachoeirinha.html",http://tdor.translivesmatter.info/reports/2017/03/12/gabriele-marchiori_cachoeirinha-brazil_512a720e,
L. F. dos Santos,26,2017_03_12_L-F-dos-Santos.jpg,,12-Mar-17,,"Serra, Espírito Santo",Brazil,-20.125296,-40.306448,shot,"L. was a tattooist. On the morning of Sunday 12th March he was riding his motorcycle near his house in the Nova Almeida neighbourhood when he was shot in the head by a person on the street. He died instantly.

https://homofobiamata.wordpress.com/2017/03/13/l-f-dos-santos-26-anos-tiros-es-serra/ [BROKEN LINK]

http://www.folhavitoria.com.br/policia/noticia/2017/03/tatuadora-e-assassinada-com-tiro-na-nuca-na-serra.html
",http://tdor.translivesmatter.info/reports/2017/03/12/l-f-dos-santos_serra-espirito-santo-brazil_ed605971,
Lexia Famosinha,,2017_03_13_Lexia-Famosinha.jpg,,13-Mar-17,13-Mar-17/Lexia,Santa Fe do Sul,Brazil,-20.210619,-50.927084,stabbed,"Lexia was stabbed in the back and ribs after an argument with another sex worker. She died in hospital.

https://goqueer.blogspot.com/2017/04/transgender-woman-murdered-by-another.html

https://homofobiamata.wordpress.com/2017/03/13/a-alves-de-brito-func-publico-30-anos-facadas-sp-santa-fe-do-sul/ [BROKEN LINK]

http://www.diariodevotuporanga.com.br/2017/03/14/apos-discussao-travesti-e-morto-em-santa-fe-do-sul/

http://sbtinterior.com/noticia/apos-briga-travesti-e-morto-a-facadas-na-regiao-2017-03-14.html

http://www.informamais.com.br/Site/Paginas/Santa-Fe-do-Sul--Homosexual-e-morto-com-facadas-no-centro-da-cidade-Autor-ja-esta-preso/2851",http://tdor.translivesmatter.info/reports/2017/03/13/lexia-famosinha_santa-fe-do-sul-brazil_3dc3c941,
Rapee,39,,,14-Mar-17,14-Mar-17/Rapee,"Kantharalak, Srisaket",Thailand,14.644067,104.650483,beaten,"Rapee was beaten, and her body found by her sister. A man has been arrested and has confessed to the murder.

http://www.thairath.co.th/content/888206",http://tdor.translivesmatter.info/reports/2017/03/14/rapee_kantharalak-srisaket-thailand_fecf400d,
Camila Albuquerque,20,2017_03_15_Camila-Albuquerque.jpg,,15-Mar-17,15-Mar-17/Camila Albuquerque,Salvador,Brazil,-12.981636,-38.482077,shot,"Camila was shot 15 times. Her hands had been tied behind her back. According to witnesses she had been used as bait and then killed by the same people who hired her.

https://goqueer.blogspot.com/2017/04/brazil-transexual-woman-found-dead-on.html

https://homofobiamata.wordpress.com/2017/03/15/camila-albuquerque-tiros-dhpp-e-13a-dp-ba-salvador/ [BROKEN LINK]

http://www.doistercos.com.br/transexual-e-assassinada-em-salvador/

https://bahianoar.com/travesti-e-encontrada-morta-com-maos-amarradas-e-marcas-de-tiros-em-aguas-claras/

https://noticias.r7.com/bahia/jovem-e-encontrada-morta-com-perfuracao-na-nuca-e-maos-amarradas-em-aguas-claras-15032017

http://www.clicknoticias.com.br/imagens-fortes-mulher-transexual-e-encontrada-morta-com-15-tiros-em-aguas-claras/",http://tdor.translivesmatter.info/reports/2017/03/15/camila-albuquerque_salvador-brazil_2111f5c5,
Danilo Melhorini,,2017_03_15_Danilo-Melhorini.jpg,,15-Mar-17,,São Paulo,Brazil,-23.550651,-46.633382,suicide,"Danilo died by suicide. Their Facebook profile is https://www.facebook.com/melhorini.

> Today in the sky, a shining star has been made. The most glamorous and full of sparkle woman who illuminated the way of all with great joy, good mood, with all glitter that came from her beautiful spirituality.
> 
> This passage makes me think so much how much we only know what’s going on inside of you, your fears, your monsters and anguish. She chose to leave for another plan, and she will arrive debuting in heaven, as a diva that was and will always be in our memories.
> 
> Go in peace honey!

https://homofobiamata.wordpress.com/2017/03/15/danilo-melhorini-suicidio-sp-sao-paulo/ [BROKEN LINK]

https://www.facebook.com/groups/pgmreal/permalink/1457164517690178/

https://www.facebook.com/permalink.php?story_fbid=1905890186364491&id=100008305846905&hc_location=ufi",http://tdor.translivesmatter.info/reports/2017/03/15/danilo-melhorini_sao-paulo-brazil_fdc53e40,
Angie Velásquez Ramírez,36,2017_03_16_Angie-Velasquez-Ramirez.jpg,,16-Mar-17,,"Le Plata, Buenos Aires",Argentina,-34.88135,-57.95802,died in custody,"Angie was detained during a police operation on 18th February 2017. She was held for about twenty days in the police station No. 11 of Ringuelet “in intolerable conditions”, then taken to Florencio Varela and Lisando Olmos prisons. She died in custody less than a month later.

Her death was the second of four in custody deaths in similar suspicious circumstances (the others being Pamela Macedo Panduro, Brandy Bardales Sangama and Damaris Becerra Jurado) in the same province during 2017.

All were Peruvian migrants and Otrans activists. Otrans reports that in the city the police routinely make arbitrary arrests of trans women. The detainees are routinely held without charge for long periods in degrading conditions without access to healthcare.

The trans support organisation Otrans Argentina (http://otransargentina.org/) denounced her death as a hate crime and filed a criminal complaint accusing the judge and prosecutor in charge of her case of killing her.

Like the similar deaths in 2017, Angie's death was not recorded on the official TGEU TDoR 2017 memorial list.

http://cosecharoja.org/otra-vez-muere-una-muere-una-trans-en-prision/

https://www.minutouno.com/notas/1542160-detuvieron-una-trans-no-le-dieron-los-medicamentos-que-necesitaba-y-murio

https://infocielo.com/nota/79569/denuncian_muertes_de_personas_trans_y_travestis_en_carceles_de_la_provincia/

http://www.diariocontexto.com.ar/2017/03/18/basta-de-trasvesticidios-y-xenofobia-otrans-denuncia-la-muerte-de-angie-velasquez-en-la-carcel-de-olmos/

http://cosecharoja.org/fue-un-asesinato-una-mujer-trans-migrante-y-militante-politica/


http://www.corresponsalesclave.org/2017/03/otra-muerte-pone-en-alerta-a-la-comunidad-trans-de-argentina.html

http://www.revistaanfibia.com/ensayo/cuerpos-del-delito/",http://tdor.translivesmatter.info/reports/2017/03/16/angie-velasquez-ramirez_le-plata-buenos-aires-argentina_59c4de2e,
Bruninha Tavares,17,2017_03_16_Bruninha-Tavares.jpg,,16-Mar-17,16-Mar-17/Bruninha,Ourinhos ,Brazil,-22.979695,-49.869702,stabbed,"Bruninha was stabbed. A farm worker found her body in a rural area in Salta Grande. She had stab wounds to the back and neck and her body showed signs of being mauled by a jaguar.

Friends of Bruninha who where with her before she was murdered reported that they had been ambushed by another car containing three people who the stabbed Bruninha in the back and forced her into their car. Afterwards they left at high speed heading towards the highway. 

Three suspects were subsequently arrested.

http://homofobiamata.wordpress.com/2017/03/16/bruna-tavares-17-anos-facadas-sp-ourinhos/ [BROKEN LINK]

http://www.tabajaranoticias.com.br/manha-sangrenta-em-salto-grande-travesti-e-assassinada-e-tem-partes-do-corpo-comida-por-onca/

http://www.chavantesnoticia.com.br/?p=39517

http://portaltanacidade.com/principal/travesti-e-assassinada-em-ourinhos.html

http://g1.globo.com/sp/bauru-marilia/noticia/2017/03/adolescente-e-suspeito-de-envolvimento-na-morte-de-travesti.html",http://tdor.translivesmatter.info/reports/2017/03/16/bruninha-tavares_ourinhos-brazil_5d423079,
